arrrr

46860 atoms
44517 bonds
42174 angles

2 atom types
1 bond types
1 angle types

0.000000 25.000000 xlo xhi
0.000000 25.000000 ylo yhi
0.000000 25.000000 zlo zhi

Masses

1 1.000000
2 1.000000

Atoms

1 1 1  21.032377 3.898138 0.161501
2 1 1  21.470657 5.580025 24.278782
3 1 1  22.426632 6.105322 23.329058
4 1 1  23.786426 5.103715 22.681720
5 1 1  22.935774 5.348938 22.972491
6 1 1  23.411300 6.084703 23.237545
7 1 1  22.396212 5.165066 22.976962
8 1 1  22.237761 5.329865 21.705315
9 1 1  22.020966 7.042592 21.479687
10 1 1  23.624864 8.626579 22.079494
11 1 2  22.965811 8.453915 24.141453
12 1 2  23.407173 8.823023 0.892638
13 1 2  24.067788 9.147696 1.899605
14 1 2  24.955720 8.377441 0.671841
15 1 2  0.000856 6.861745 24.138583
16 1 2  24.617244 5.161168 1.098886
17 1 2  0.427586 5.971414 2.179362
18 1 2  0.769073 4.250334 2.399462
19 1 2  1.243835 4.640794 3.039680
20 1 2  1.611330 3.641090 1.656928
21 2 1  12.706581 0.713640 17.517200
22 2 1  11.773465 1.661757 16.995331
23 2 1  11.826156 24.981214 17.104553
24 2 1  10.030900 24.781286 17.744160
25 2 1  10.225393 22.642334 16.602336
26 2 1  11.730821 22.987514 15.058923
27 2 1  11.427639 23.214323 15.238413
28 2 1  10.542067 21.327887 15.154723
29 2 1  9.147094 21.525144 15.873317
30 2 1  9.163746 22.024670 15.913783
31 2 2  11.320355 22.378472 15.692062
32 2 2  12.308598 20.421391 16.901857
33 2 2  12.352455 20.003755 17.705107
34 2 2  11.418481 20.056396 19.183507
35 2 2  10.740368 18.404239 19.609592
36 2 2  10.773469 16.872685 19.446827
37 2 2  10.686769 18.754834 20.424761
38 2 2  11.497666 17.910018 19.151877
39 2 2  10.528684 16.654050 19.378639
40 2 2  11.795183 17.896656 20.777495
41 3 1  20.929690 1.730917 3.970585
42 3 1  20.662171 1.168414 4.124158
43 3 1  21.376690 3.555021 3.118587
44 3 1  21.279451 2.015754 4.295835
45 3 1  22.637662 1.560592 5.711767
46 3 1  21.628678 2.781823 6.837574
47 3 1  21.015282 2.815579 5.845365
48 3 1  20.817800 4.581381 7.392050
49 3 1  21.809222 6.099672 8.759455
50 3 1  21.478571 6.499406 10.072869
51 3 2  20.873275 5.369928 9.868036
52 3 2  18.876244 5.557505 8.474420
53 3 2  19.006211 4.574168 9.393214
54 3 2  19.107944 3.533093 9.836017
55 3 2  20.596840 1.202695 10.775163
56 3 2  19.146626 2.102401 11.432109
57 3 2  18.594651 1.840669 10.748489
58 3 2  18.495971 2.065916 9.962709
59 3 2  16.850315 2.262381 8.045194
60 3 2  17.369508 2.495276 8.120722
61 4 1  22.976277 3.885725 20.442575
62 4 1  22.532440 4.568659 20.139970
63 4 1  23.927842 3.761854 21.764771
64 4 1  22.887088 3.393966 22.069729
65 4 1  21.761738 4.591901 21.660912
66 4 1  23.619950 4.537923 21.651580
67 4 1  23.948809 5.905158 22.253231
68 4 1  24.703971 6.816921 23.326108
69 4 1  0.388659 8.486598 22.825790
70 4 1  23.209851 6.162736 21.560913
71 4 2  22.972775 7.129390 21.101633
72 4 2  22.383783 6.476236 20.047782
73 4 2  22.307549 7.430876 19.341103
74 4 2  21.175823 6.659809 17.667349
75 4 2  21.755070 7.685848 17.036677
76 4 2  23.231712 8.980574 17.841868
77 4 2  23.375356 9.871483 17.671907
78 4 2  0.660511 8.525468 19.077928
79 4 2  1.185593 8.899207 20.133724
80 4 2  24.574842 8.148843 19.870422
81 5 1  4.858829 0.126079 11.187052
82 5 1  4.474832 1.900141 9.820380
83 5 1  4.085625 2.391063 10.559558
84 5 1  5.443078 3.790996 12.244023
